"","CORT_1","CORT_2","CORT_3","CORT_4","MED_1","MED_2","MED_3","MED_4"
"ENSMUSG00000018999.14",2642.02514328296,2292.00605815933,2921.87039585551,2328.00729787935,4209.80648837318,2408.011261732,1662.00144819366,2472.00600981637
"ENSMUSG00000019027.8",30,22,27,22,45,23,20,33
"ENSMUSG00000019039.14",1224.51191260061,1080.91057176961,1245.05244087021,1038.27866135212,1825.4880343531,967.718351520025,728.53642834125,1054.2267315414
"ENSMUSG00000019054.13",5100,4694,5471,4807,6373,3844,2745,4046
"ENSMUSG00000019055.15",654.680255589479,545.422534855834,691.017516436532,646.507704080384,836.049925088893,514.648494073825,335.618253982686,531.405059025015
"ENSMUSG00000019066.13",591.279760570536,541.226992481162,612.430592336462,511.242801178081,1063.18980427149,582.148263667146,428.189943897214,662.613719619807
"ENSMUSG00000019080.8",203.549980358776,164.540266033896,205.282003103279,163.229869196816,277.446261314494,155.934629774676,98.5960217881512,172.403516564407
"ENSMUSG00000019082.18",1045,777,925,854,1110,636,440,706
"ENSMUSG00000019087.13",6574,5643,6706,5389,8917,5536,3678,5754
"ENSMUSG00000019088.13",36.3325078222061,138.870580415056,228.45553322867,201.997708045054,317.300453938528,156.430778654012,124.454643839584,186.344704086047
"ENSMUSG00000019102.10",0,0,2,2,0,0,0,0
"ENSMUSG00000019122.8",6.27444799236347,4.68716693122809,13.2566248102883,8.90655996892856,8.73647067478827,2.03931637162519,2.13388766157534,4.20513570067119
"ENSMUSG00000019124.10",6.29496747028981,9.7897717602966,10.0094098182463,12.005692110197,27.1983991265626,9.53804530540475,6.00169826164398,16.0174510430642
"ENSMUSG00000019132.11",5762.85463907399,4505.1865906973,5937.81673222141,4856.49551242094,8860.56821555187,5079.50971469755,3654.0963079666,5220.12693722723
"ENSMUSG00000019139.10",44,32,36,51,56,34,22,34
"ENSMUSG00000019143.15",690,632.599541063783,766.868388464293,599.24157885979,1084.02544968155,560.670201405086,427.258160352977,667.494909880105
"ENSMUSG00000019146.2",1.08169102669263,3.15527447042572,6.27546506929549,4.01543286864455,8.72048296630257,3.10222865977294,1.00431419256726,2.00541346410255
"ENSMUSG00000019158.9",801,737,910,778,1214,677,583,758
"ENSMUSG00000019173.11",14663,12819,14662,12633,16599,9981,7110,10262
"ENSMUSG00000019178.17",2,5,3,3,4,5,2,3
"ENSMUSG00000019179.10",11826,10408,12067,10012,15733.3534430107,9433,6892,10109
"ENSMUSG00000019188.16",2958,2459,3228,2591,4255,2440,1799,2629
"ENSMUSG00000019189.13",5940,4922,6032,5043,9010,5291,3865,5518
"ENSMUSG00000019194.15",1638,1327,1652,1418,3663,2225,1530,2264
"ENSMUSG00000019210.10",2866.00907323463,2432.0945679528,2867.05145516136,2434.34089258499,3928.00937711518,2301.61149069594,1817.02454240729,2533.53515574546
"ENSMUSG00000019214.14",1179.27867648586,1028.80413927505,1289.51953995518,1007.04066764109,2200.35416105398,1202.36803318414,892.620379387742,1358.84589841953
"ENSMUSG00000019230.14",11.8611956246464,11.0023338960656,14.1866374521999,8.17461047823397,65.496450709834,23.465455570014,14.0070738668083,34.6937880241105
"ENSMUSG00000019232.14",2.36083658772021,0,0,1.0009199330565,3.17380261536349,1.04070238122979,0,0
"ENSMUSG00000019235.9",94.1834484737682,87.1758285715363,98.0733121611535,97.1334128162248,104.301428097593,64.0276552740925,41.0042972366479,61.1022930643428
"ENSMUSG00000019254.16",3949,3284,4021,3608,5226,2905,2200,3300
"ENSMUSG00000019256.17",2178,1974,2426,2063,5104,2851,1915,2882
"ENSMUSG00000019261.3",2821.43723142006,2390.86561324774,3118.17779289622,2665.68378686943,5267.8662900064,2881.17032615102,2276.07141091821,3009.73836341159
"ENSMUSG00000019278.5",6,10.0252581820388,7,6,0,1.03258638702473,0.0190369529140049,0
"ENSMUSG00000019295.8",738.290416110179,595.504966810911,765.942964482119,643.564789746079,1213.55321688596,703.069395475851,440.485071195657,749.923948754545
"ENSMUSG00000019297.9",1776.85193260814,1410.77575111707,1779.4332213798,1542.74949989993,2464.45202648222,1541.39905733339,1146.75218308414,1580.52628567883
"ENSMUSG00000019301.5",8,5,9,6,17,9,6,5
"ENSMUSG00000019302.16",1601,1404,1643,1332,2157,1283,836,1328
"ENSMUSG00000019303.14",407.11272857339,325.993343532319,387.601903212689,278.998935363262,587.485655173788,393.029299024321,316.723598113147,443.440298293481
"ENSMUSG00000019312.10",1,0,2,4,1,0,0,0
